dataset,modality,category,name,anatomy_group,n_volumes,n_2D-slices,mean,median,mean_ROI_pixel_count,unit
TotalSegmentator,CT,label,left gluteus maximus,Hip,708,151956,3477.0042,2961.0,1545.3352,mm2
TotalSegmentator,CT,label,left gluteus medius,Hip,757,125506,2143.4863,1993.5,952.6606,mm2
TotalSegmentator,CT,label,left gluteus minimus,Hip,673,77257,842.6585,805.5,374.5149,mm2
TotalSegmentator,CT,label,left hip,Hip,813,196350,2130.9674,1829.25,947.0966,mm2
TotalSegmentator,CT,label,left humerus,Others,712,68143,952.5565,780.75,423.3585,mm2
TotalSegmentator,CT,label,left iliac artery,Artery,781,117873,179.4494,119.25,79.7553,mm2
TotalSegmentator,CT,label,left iliac vein,Vein,776,120608,295.348,222.75,131.2658,mm2
TotalSegmentator,CT,label,left iliopsoas,Hip,1106,205879,1500.3917,1046.25,666.8407,mm2
TotalSegmentator,CT,label,left kidney,Kidney,1014,109872,1742.8276,1638.0,774.5901,mm2
TotalSegmentator,CT,label,left kidney cyst,Kidney Tumor/Lesion,30,3185,1475.8467,1082.25,655.9319,mm2
TotalSegmentator,CT,label,left lung lower lobe,Lung,1006,264609,5101.5728,4328.9995,2267.3657,mm2
TotalSegmentator,CT,label,left lung upper lobe,Lung,1024,275764,5578.8492,4839.75,2479.4885,mm2
TotalSegmentator,CT,label,left scapula,Others,877,164956,764.8873,573.75,339.9499,mm2
TotalSegmentator,CT,label,left subclavian artery,Artery,751,79746,152.9079,92.25,67.9591,mm2
TotalSegmentator,CT,label,liver,Liver,1180,310036,8023.1366,7179.75,3565.8385,mm2
TotalSegmentator,CT,label,pancreas,Pancreas,993,135326,693.7639,524.2499,308.3395,mm2
TotalSegmentator,CT,label,portal vein and splenic vein,Vein,830,149552,223.7121,126.0,99.4276,mm2
TotalSegmentator,CT,label,prostate,Prostate,381,23608,742.2715,753.75,329.8985,mm2
TotalSegmentator,CT,label,pulmonary vein,Vein,773,92985,332.5924,312.75,147.8188,mm2
TotalSegmentator,CT,label,right 10th rib,Rib,865,185216,119.2416,94.5,52.9963,mm2
TotalSegmentator,CT,label,right 11th rib,Rib,864,143097,96.2036,81.0,42.7571,mm2
TotalSegmentator,CT,label,right 12th rib,Rib,778,72874,71.6501,56.25,31.8445,mm2
TotalSegmentator,CT,label,right 1st rib,Rib,738,86072,162.2655,128.25,72.118,mm2
TotalSegmentator,CT,label,right 2nd rib,Rib,749,119179,133.7175,103.5,59.43,mm2
TotalSegmentator,CT,label,right 3rd rib,Rib,766,140897,127.1036,94.5,56.4905,mm2
TotalSegmentator,CT,label,right 4th rib,Rib,787,156564,141.8974,103.5,63.0655,mm2
TotalSegmentator,CT,label,right 5th rib,Rib,840,172319,151.1679,108.0,67.1857,mm2
TotalSegmentator,CT,label,right 6th rib,Rib,869,185216,159.8331,114.75,71.0369,mm2
TotalSegmentator,CT,label,right 7th rib,Rib,851,198487,160.7017,117.0,71.423,mm2
TotalSegmentator,CT,label,right 8th rib,Rib,860,204059,142.5123,103.5,63.3388,mm2
TotalSegmentator,CT,label,right 9th rib,Rib,860,200826,135.4454,101.25,60.198,mm2
TotalSegmentator,CT,label,right adrenal gland,Adrenal Gland,993,46936,124.7194,103.5,55.4308,mm2
TotalSegmentator,CT,label,right autochthon,Others,1458,328326,1956.4319,960.75,869.5253,mm2
TotalSegmentator,CT,label,right brachiocephalic vein,Vein,735,38710,223.0564,189.0,99.1362,mm2
TotalSegmentator,CT,label,right clavicle,Others,813,111952,304.9012,258.75,135.5116,mm2
TotalSegmentator,CT,label,right common carotid artery,Artery,721,48635,92.7181,56.25,41.208,mm2
TotalSegmentator,CT,label,right femur,Knee Bone,679,100061,2029.4445,1730.25,901.9753,mm2
TotalSegmentator,CT,label,right gluteus maximus,Hip,710,152933,3573.8402,3062.2503,1588.3734,mm2
TotalSegmentator,CT,label,right gluteus medius,Hip,741,128280,2034.8571,1849.5,904.3809,mm2
TotalSegmentator,CT,label,right gluteus minimus,Hip,668,80952,853.0378,796.5,379.1279,mm2
TotalSegmentator,CT,label,right hip,Hip,806,194455,2130.0116,1836.0,946.6718,mm2
TotalSegmentator,CT,label,right humerus,Others,706,68705,1004.8695,857.25,446.6087,mm2
TotalSegmentator,CT,label,right iliac artery,Artery,780,120243,175.3997,117.0,77.9554,mm2
TotalSegmentator,CT,label,right iliac vein,Vein,771,109405,266.0735,191.25,118.2549,mm2
TotalSegmentator,CT,label,right iliopsoas,Hip,1114,204378,1439.9105,1008.0,639.9602,mm2
TotalSegmentator,CT,label,right kidney,Kidney,979,107590,1749.2864,1665.0,777.4606,mm2
TotalSegmentator,CT,label,right kidney cyst,Kidney Tumor/Lesion,25,2331,2036.2934,983.25,905.0193,mm2
TotalSegmentator,CT,label,right lung lower lobe,Lung,991,271533,5619.3054,4907.25,2497.4691,mm2
TotalSegmentator,CT,label,right lung middle lobe,Lung,881,186921,3113.6251,2751.75,1383.8334,mm2
TotalSegmentator,CT,label,right lung upper lobe,Lung,894,218038,5800.0794,5335.8747,2577.8131,mm2
TotalSegmentator,CT,label,right scapula,Others,851,162643,763.9649,578.2499,339.5399,mm2
TotalSegmentator,CT,label,right subclavian artery,Artery,731,68979,157.5356,94.5,70.0158,mm2
TotalSegmentator,CT,label,sacrum,Hip,759,134715,1491.4837,1444.5,662.8817,mm2
TotalSegmentator,CT,label,skull,Brain,467,90180,2826.9162,2544.7503,1256.4072,mm2
TotalSegmentator,CT,label,small bowel,Intestine,1056,256729,4259.1351,3552.75,1892.9489,mm2
TotalSegmentator,CT,label,spinal cord,Spine,1603,301274,419.4361,193.5,186.4161,mm2
TotalSegmentator,CT,label,spleen,Spleen,1110,151411,2502.8145,2135.25,1112.362,mm2
TotalSegmentator,CT,label,sternum,Others,956,140268,651.3525,438.75,289.49,mm2
TotalSegmentator,CT,label,stomach,Stomach,1127,197791,2602.0733,1995.75,1156.477,mm2
TotalSegmentator,CT,label,superior vena cava,Vein,777,64811,448.081,303.75,199.1471,mm2
TotalSegmentator,CT,label,thyroid gland,Head-Neck,704,55152,353.5519,310.5,157.1342,mm2
TotalSegmentator,CT,label,trachea,Head-Neck,792,126554,411.7185,292.5,182.986,mm2
TotalSegmentator,CT,label,urinary bladder,Urinary System,656,82812,2536.9326,2083.5,1127.5256,mm2
TotalSegmentator,CT,label,vertebra C1,Spine,246,23610,276.3286,193.5,122.8127,mm2
TotalSegmentator,CT,label,vertebra C2,Spine,252,22593,346.8149,270.0,154.14,mm2
TotalSegmentator,CT,label,vertebra C3,Spine,229,19137,292.6206,243.0,130.0536,mm2
TotalSegmentator,CT,label,vertebra C4,Spine,250,20536,284.7185,229.5,126.5415,mm2
TotalSegmentator,CT,label,vertebra C5,Spine,349,24424,272.4251,225.0,121.0778,mm2
TotalSegmentator,CT,label,vertebra C6,Spine,556,36350,243.6382,186.75,108.2837,mm2
TotalSegmentator,CT,label,vertebra C7,Spine,690,63012,279.6259,195.75,124.2782,mm2
TotalSegmentator,CT,label,vertebra L1,Spine,801,104591,733.8885,632.25,326.1727,mm2
TotalSegmentator,CT,label,vertebra L2,Spine,712,99297,739.4354,571.5,328.6379,mm2
TotalSegmentator,CT,label,vertebra L3,Spine,645,95833,801.1502,648.0,356.0668,mm2
TotalSegmentator,CT,label,vertebra L4,Spine,636,92730,828.1591,780.75,368.0707,mm2
TotalSegmentator,CT,label,vertebra L5,Spine,619,91487,806.2182,742.5,358.3192,mm2
TotalSegmentator,CT,label,vertebra S1,Spine,597,68981,803.7265,794.25,357.2118,mm2
TotalSegmentator,CT,label,vertebra T1,Spine,704,83251,370.3546,270.0,164.602,mm2
TotalSegmentator,CT,label,vertebra T10,Spine,877,103844,612.6542,542.25,272.2907,mm2
TotalSegmentator,CT,label,vertebra T11,Spine,887,101682,694.2931,686.25,308.5747,mm2
TotalSegmentator,CT,label,vertebra T12,Spine,871,99942,750.1703,742.5,333.409,mm2
TotalSegmentator,CT,label,vertebra T2,Spine,724,86147,375.7466,303.75,166.9985,mm2
TotalSegmentator,CT,label,vertebra T3,Spine,742,85286,370.2489,310.5,164.5551,mm2
TotalSegmentator,CT,label,vertebra T4,Spine,738,85464,386.641,328.5,171.8405,mm2
TotalSegmentator,CT,label,vertebra T5,Spine,733,85138,400.8759,328.5,178.1671,mm2
TotalSegmentator,CT,label,vertebra T6,Spine,732,84241,409.4696,306.0,181.9865,mm2
TotalSegmentator,CT,label,vertebra T7,Spine,745,86589,445.5016,319.5,198.0007,mm2
TotalSegmentator,CT,label,vertebra T8,Spine,796,91284,482.3728,353.25,214.3879,mm2
TotalSegmentator,CT,label,vertebra T9,Spine,849,99152,532.1756,414.0,236.5225,mm2
TotalSegmentator,MRI,label,aorta,Artery,1378,52359,716.9571,397.6875,382.1444,mm2
TotalSegmentator,MRI,label,brain,Brain,313,31066,9008.6459,9473.4081,10037.4644,mm2
TotalSegmentator,MRI,label,colon,Colon,1206,100982,1749.3813,1082.3337,767.0549,mm2
TotalSegmentator,MRI,label,duodenum,Intestine,950,23379,528.0366,353.2031,234.3806,mm2
TotalSegmentator,MRI,label,esophagus,Esophagus,1255,21586,230.3613,140.625,117.0367,mm2
TotalSegmentator,MRI,label,gallbladder,Gallbladder,790,10594,593.1741,461.9695,249.817,mm2
TotalSegmentator,MRI,label,heart,Heart,1124,46663,3441.8434,2992.5,1584.3792,mm2
TotalSegmentator,MRI,label,inferior vena cava,Vein,1229,32257,561.2663,278.4474,261.7316,mm2
TotalSegmentator,MRI,label,intervertebral discs,Spine,413,74366,774.9217,507.8522,407.9252,mm2
TotalSegmentator,MRI,label,left adrenal gland,Adrenal Gland,965,8077,134.5751,110.2849,64.6722,mm2
TotalSegmentator,MRI,label,left autochthon,Others,1465,67705,1875.4882,987.5,813.07,mm2
TotalSegmentator,MRI,label,left clavicle,Others,816,13094,154.5579,108.2812,166.2214,mm2
TotalSegmentator,MRI,label,left femur,Knee Bone,680,29006,1680.2465,1456.3122,1350.6119,mm2
TotalSegmentator,MRI,label,left gluteus maximus,Hip,708,24678,2421.2461,1757.1886,1256.0814,mm2
TotalSegmentator,MRI,label,left gluteus medius,Hip,757,21674,1496.8665,1244.6986,635.8295,mm2
TotalSegmentator,MRI,label,left gluteus minimus,Hip,673,11322,707.0486,614.3906,317.8593,mm2
TotalSegmentator,MRI,label,left hip,Hip,813,44157,1096.2731,818.9055,628.4311,mm2
TotalSegmentator,MRI,label,left humerus,Others,712,14172,695.777,407.6028,557.0887,mm2
TotalSegmentator,MRI,label,left iliac artery,Artery,781,15471,117.7797,84.5658,60.9527,mm2
TotalSegmentator,MRI,label,left iliac vein,Vein,776,16363,183.1555,135.375,97.741,mm2
TotalSegmentator,MRI,label,left iliopsoas,Hip,1106,55281,1259.8333,870.851,593.2311,mm2
TotalSegmentator,MRI,label,left kidney,Kidney,1014,31985,1684.6759,1497.8906,751.6819,mm2
TotalSegmentator,MRI,label,left lung,Lung,260,76038,4875.3417,3889.9527,2682.6581,mm2
TotalSegmentator,MRI,label,left scapula,Others,877,16571,385.2071,306.2439,341.5633,mm2
TotalSegmentator,MRI,label,liver,Liver,1180,85769,6824.6212,5885.25,3135.1462,mm2
TotalSegmentator,MRI,label,pancreas,Pancreas,993,29931,618.1334,462.5,284.6298,mm2
TotalSegmentator,MRI,label,portal and splenic veins,Vein,188,25994,161.9631,97.875,73.9269,mm2
TotalSegmentator,MRI,label,prostate,Prostate,381,4926,787.8288,624.2543,818.1175,mm2
TotalSegmentator,MRI,label,right adrenal gland,Adrenal Gland,993,7118,113.3368,95.3039,56.7872,mm2
TotalSegmentator,MRI,label,right autochthon,Others,1458,63590,1876.8388,1021.428,816.2693,mm2
TotalSegmentator,MRI,label,right clavicle,Others,813,12305,149.6089,98.7188,111.9669,mm2
TotalSegmentator,MRI,label,right femur,Knee Bone,679,32654,1738.2526,1469.5312,1766.0534,mm2
TotalSegmentator,MRI,label,right gluteus maximus,Hip,710,26344,2506.8105,1838.3224,1271.6434,mm2
TotalSegmentator,MRI,label,right gluteus medius,Hip,741,21780,1482.1346,1233.7313,618.0395,mm2
TotalSegmentator,MRI,label,right gluteus minimus,Hip,668,11913,689.6305,584.1,309.2173,mm2
TotalSegmentator,MRI,label,right hip,Hip,806,45385,1069.2685,801.5624,603.3719,mm2
TotalSegmentator,MRI,label,right humerus,Others,706,12191,738.5353,448.4375,456.6676,mm2
TotalSegmentator,MRI,label,right iliac artery,Artery,780,15153,113.3242,83.7159,58.4029,mm2
TotalSegmentator,MRI,label,right iliac vein,Vein,771,14541,165.0361,119.25,86.8426,mm2
TotalSegmentator,MRI,label,right iliopsoas,Hip,1114,55951,1206.6312,833.5876,570.5507,mm2
TotalSegmentator,MRI,label,right kidney,Kidney,979,30184,1691.6699,1519.3315,746.6391,mm2
TotalSegmentator,MRI,label,right lung,Lung,260,80330,5518.8481,4225.3228,2726.8839,mm2
TotalSegmentator,MRI,label,right scapula,Others,851,12126,395.4381,338.1429,239.0267,mm2
TotalSegmentator,MRI,label,sacrum,Hip,759,32286,1136.8231,961.509,581.8335,mm2
TotalSegmentator,MRI,label,small bowel,Intestine,1056,67768,2288.8402,1482.0,970.4652,mm2
TotalSegmentator,MRI,label,spinal cord,Spine,1603,89870,408.4811,194.4643,251.4076,mm2
TotalSegmentator,MRI,label,spleen,Spleen,1110,42596,2203.7252,1807.9993,1020.8832,mm2
TotalSegmentator,MRI,label,stomach,Stomach,1127,47863,1814.905,1480.0,792.4797,mm2
TotalSegmentator,MRI,label,urinary bladder,Urinary System,656,13787,1613.0785,1159.375,962.399,mm2
TotalSegmentator,MRI,label,vertebrae,Spine,423,102545,1301.0201,791.1719,731.4085,mm2
VerSe,CT,label,vertebra C1,Spine,47,7456,296.2298,215.175,372.9146,mm2
VerSe,CT,label,vertebra C2,Spine,47,7903,356.6682,268.3553,451.4019,mm2
VerSe,CT,label,vertebra C3,Spine,51,7291,291.4529,234.4047,370.0772,mm2
VerSe,CT,label,vertebra C4,Spine,52,7535,284.8992,226.3431,359.7583,mm2
VerSe,CT,label,vertebra C5,Spine,60,9031,291.3713,232.0,365.1851,mm2
VerSe,CT,label,vertebra C6,Spine,64,10661,298.3825,242.9813,393.5043,mm2
VerSe,CT,label,vertebra C7,Spine,88,16887,322.2074,250.0,454.4607,mm2
VerSe,CT,label,vertebra L1,Spine,279,65950,749.7636,678.6926,1088.9522,mm2
VerSe,CT,label,vertebra L2,Spine,278,70508,772.8141,655.9049,1124.7354,mm2
VerSe,CT,label,vertebra L3,Spine,276,72732,817.8555,720.1977,1180.3018,mm2
VerSe,CT,label,vertebra L4,Spine,273,70480,853.2413,830.2111,1234.0539,mm2
VerSe,CT,label,vertebra L5,Spine,257,65573,853.5772,805.0,1159.4396,mm2
VerSe,CT,label,vertebra L6,Spine,47,13872,892.8446,740.495,1399.6838,mm2
VerSe,CT,label,vertebra T1,Spine,136,28140,376.7531,294.0,524.5399,mm2
VerSe,CT,label,vertebra T10,Spine,231,49771,617.9792,572.4083,876.8582,mm2
VerSe,CT,label,vertebra T11,Spine,249,52002,693.9881,697.6734,1052.1775,mm2
VerSe,CT,label,vertebra T12,Spine,253,52600,756.6671,775.1958,1132.2569,mm2
VerSe,CT,label,vertebra T13,Spine,6,1331,859.0999,858.8772,1004.7971,mm2
VerSe,CT,label,vertebra T2,Spine,154,32414,374.9118,321.0,535.2886,mm2
VerSe,CT,label,vertebra T3,Spine,138,28706,372.7782,326.1793,530.2628,mm2
VerSe,CT,label,vertebra T4,Spine,139,29269,381.7671,329.3753,536.7964,mm2
VerSe,CT,label,vertebra T5,Spine,139,30471,393.2848,325.0,553.0082,mm2
VerSe,CT,label,vertebra T6,Spine,139,31515,411.6295,319.9218,579.1861,mm2
VerSe,CT,label,vertebra T7,Spine,147,33574,451.1206,336.6615,627.5175,mm2
VerSe,CT,label,vertebra T8,Spine,158,35572,492.7182,380.0,675.2167,mm2
VerSe,CT,label,vertebra T9,Spine,197,43652,542.5371,454.0,776.5113,mm2
VerSe,CT,measurement,distance_mm,,250,1250,55.0874,35.7519,,mm
VerSe,CT,measurement,angle_deg,,250,250,15.8713,15.3755,,degree
autoPET-III,CT,label,tumor,Miscellaneous Tumor/Lesion,2076,180319,1474.7154,617.0353,205.4035,mm2
autoPET-III,PET,label,tumor,Miscellaneous Tumor/Lesion,2076,180319,1474.7154,617.0353,205.4035,mm2
autoPET-III,CT;PET,measurement,major_axis_mm,,457,3118,53.603,45.6757,,mm
autoPET-III,CT;PET,measurement,minor_axis_mm,,457,3118,37.2506,31.2328,,mm
